abbreviate,"축약하다, 단축하다"
accommodate,수용하다
accuse A of B,B를 이유로 A를 고발하다
acquaint,"익히다, 숙지하다"
admantly,확고하게
adequate,적절한
adhere,고수하다
adhesive,점착성의
alleviate,"줄이다, 완화하다"
amendment,개정
anticipate,예상하다
approve,"승인하다, 찬성하다"
aspect,"면, 측면"
aspire,열망하다
assess,"평가하다, 감정하다"
assume,"맡다, 취하다"
assure,"보증하다, 안심시키다"
apparently,"외관상으로는, 분명히"
as to,~에 관하여
assign,임무를 할당하다
associate,관련시키다
attendant,"안내원, 참석자"
attentive,"주의 깊은, 경청하는"
attraction,관광명소
attribute,~에 귀착시키다
banquet,연회
barring,"~이 없다면, ~을 제외하고"
be eligible for,~에 대한 자격이 있다
be reluctant to,~하기를 꺼리다
become acquaint with,~와 알게되다
belated,때늦은
bewilder,당황하게 하다
boast,자랑하다
by comparison,비교해 보면
cautious,"조심성 있는, 신중한"
certificate,"자격정, 자격증을 교부하다"
clarify,분명히 하다
coincide,일치하다
colleague,동료
commit,"전념하다, 헌신하다"
committable,위탁할 수 있는